X,Y,T
-0.0132273,0.0066515,432.7605151967001
-0.0132273,0.0070051,448.2929638214822
-0.0132273,0.0073586,463.8309827648251
-0.0132273,0.0077121,480.9163056639479
-0.0132273,0.0080657,500.020145626149
-0.0132273,0.0084192,519.1319876057304
-0.0132273,0.0087727,538.2563620787545
-0.0132273,0.0091263,557.3979068110763
-0.0132273,0.0094798,576.8418854478609
-0.0132273,0.0098333,599.3076429046826
-0.0132273,0.0101869,621.7931969036773
-0.0132273,0.0105404,644.2848857592994
-0.0132273,0.0108939,666.7885276552706
-0.0132273,0.0112475,689.3097683240412
-0.0132273,0.011601,714.0069362382685
-0.0132273,0.0119545,739.4593326241354
-0.0132273,0.0123081,764.9299787577743
-0.0132273,0.0126616,790.4039120851529
-0.0132273,0.0130152,815.8951919292707
-0.0132273,0.0133687,841.6182282297034
-0.0132273,0.0137222,869.0476993800578
-0.0132273,0.0140758,897.1540487921077
-0.0132273,0.0144293,925.2524772733955
-0.0132273,0.0147828,954.4581575475676
-0.0132273,0.0151364,983.948961174759
-0.0132273,0.0154899,1013.431376030523
-0.0132273,0.0158434,1044.0091105444103
-0.0132273,0.016197,1074.627524744713
-0.0132273,0.0165505,1105.3933776244858
-0.0132273,0.016904,1137.095154071673
-0.0132273,0.0172576,1168.8057837106562
-0.0132273,0.0176111,1200.7863162959068
-0.0132273,0.0179646,1233.375049444767
-0.0132273,0.0183182,1265.9730551961125
-0.0132273,0.0186717,1298.7286455768387
-0.0132273,0.0190253,1331.6701039213897
-0.0132273,0.0193788,1364.6023654429166
-0.0132273,0.0197323,1397.7369197040175
-0.0132273,0.0200859,1430.9863007546687
-0.0132273,0.0204394,1464.2263990143153
-0.0132273,0.0207929,1497.704053392858
-0.0132273,0.0211465,1531.240397368589
-0.0129545,-0.0131465,183.60779433590773
-0.0129545,-0.0127929,183.76951530857858
-0.0129545,-0.0124394,183.9468222458322
-0.0129545,-0.0120859,184.12609232220493
-0.0129545,-0.0117323,184.30748168404295
-0.0129545,-0.0113788,184.49100073255124
-0.0129545,-0.0110253,184.7343504455634
-0.0129545,-0.0106717,185.1813868973556
-0.0129545,-0.0103182,185.63049410035393
-0.0129545,-0.0099646,186.08205886767405
-0.0129545,-0.0096111,186.5359717288631
-0.0129545,-0.0092576,186.99251742475667
-0.0129545,-0.008904,187.7811181567353
-0.0129545,-0.0085505,188.576179591097
-0.0129545,-0.008197,189.37395744006113
-0.0129545,-0.0078434,190.17486903388613
-0.0129545,-0.0074899,190.97866616490816
-0.0129545,-0.0071364,192.13190377391248
-0.0129545,-0.0067828,193.40193475824898
-0.0129545,-0.0064293,194.6745878260965
-0.0129545,-0.0060758,195.95043643206347
-0.0129545,-0.0057222,197.23007417774224
-0.0129545,-0.0053687,198.85124642978565
-0.0129545,-0.0050152,200.78957063312626
-0.0129545,-0.0046616,202.73114090144253
-0.0129545,-0.0043081,204.67503735328958
-0.0129545,-0.0039545,206.62254953077655
-0.0129545,-0.003601,208.83849501343
-0.0129545,-0.0032475,211.72750419662225
-0.0129545,-0.0028939,214.61887557653034
-0.0129545,-0.0025404,217.5110495166121
-0.0129545,-0.0021869,220.4049213625009
-0.0129545,-0.0018333,223.36741909805713
-0.0129545,-0.0014798,227.6097870418938
-0.0129545,-0.0011263,231.8522675008123
-0.0129545,-0.0007727,236.09606196103027
-0.0129545,-0.0004192,240.3387735054904
-0.0129545,-6.57e-05,244.5816034254514
-0.0129545,0.0002879,250.36975075112062
-0.0129545,0.0006414,256.5093309793247
-0.0129545,0.0009949,262.64979204832537
-0.0129545,0.0013485,268.7928554301039
-0.0129545,0.001702,274.93503143558536
-0.0129545,0.0020556,282.54092534216494
-0.0129545,0.0024091,291.20974787074454
-0.0129545,0.0027626,299.885282004335
-0.0129545,0.0031162,308.56966814191566
-0.0129545,0.0034697,317.2577061989105
-0.0129545,0.0038232,327.00844170957373
-0.0129545,0.0041768,338.78354430720606
-0.0129545,0.0045303,350.5716328460628
-0.0129545,0.0048838,362.3750228846683
-0.0129545,0.0052374,374.1960823140807
-0.0129545,0.0055909,386.3975893798051
-0.0129545,0.0059444,401.60853721448234
-0.0129545,0.006298,416.8491976204251
-0.0129545,0.0066515,432.10920688151646
-0.0129545,0.0070051,447.3956380721148
-0.0129545,0.0073586,462.69834838562724
-0.0129545,0.0077121,481.01729004437425
-0.0129545,0.0080657,499.79608873429163
-0.0129545,0.0084192,518.597252548379
-0.0129545,0.0087727,537.4242504562008
-0.0129545,0.0091263,556.2807626105686
-0.0129545,0.0094798,577.2110856560524
-0.0129545,0.0098333,599.3209816348005
-0.0129545,0.0101869,621.4647509022245
-0.0129545,0.0105404,643.6280531384173
-0.0129545,0.0108939,665.8158045055227
-0.0129545,0.0112475,689.1919026109371
-0.0129545,0.011601,714.2793534162322
-0.0129545,0.0119545,739.3908059801794
-0.0129545,0.0123081,764.5320999317538
-0.0129545,0.0126616,789.6878374090297
-0.0129545,0.0130152,814.9713277146923
-0.0129545,0.0133687,841.0919703779837
-0.0129545,0.0137222,868.6096918950033
-0.0129545,0.0140758,896.7196947996381
-0.0129545,0.0144293,924.8217757438837
-0.0129545,0.0147828,954.0418698467462
-0.0129545,0.0151364,983.5497824589819
-0.0129545,0.0154899,1013.0493014330742
-0.0129545,0.0158434,1043.6456984392926
-0.0129545,0.016197,1074.2828261410098
-0.0129545,0.0165505,1105.0667988180262
-0.0129545,0.016904,1136.7831641775247
