X,Y,T
-0.012569,-0.0122931,184.21941321323658
-0.012569,-0.0110862,185.01510833703554
-0.012569,-0.0098793,186.40250317513332
-0.012569,-0.0086724,188.51508944685102
-0.012569,-0.0074655,191.47656196042922
-0.012569,-0.0062586,195.40389294891324
-0.012569,-0.0050517,200.7403181127909
-0.012569,-0.0038448,207.61012589382415
-0.012569,-0.0026379,216.4795304922671
-0.012569,-0.001431,228.15048041589898
-0.012569,-0.0002241,242.85712581537308
-0.012569,0.0009828,261.515537334519
-0.012569,0.0021897,285.4129984404077
-0.012569,0.0033966,314.9740448920784
-0.012569,0.0046034,351.26361856969413
-0.012569,0.0058103,395.3457603393085
-0.012569,0.0070172,446.66331576832863
-0.012569,0.0082241,505.9877156086229
-0.012569,0.009431,573.0169498131299
-0.012569,0.0106379,647.3104412821336
-0.012569,0.0118448,728.5951598731472
-0.012569,0.0130517,816.2360200116955
-0.012569,0.0142586,909.8806466141937
-0.012569,0.0154655,1009.239215216969
-0.012569,0.0166724,1113.5246237626359
-0.012569,0.0178793,1222.1340405673318
-0.012569,0.0190862,1333.325078928298
-0.012569,0.0202931,1445.779965637641
-0.0116379,-0.0122931,183.72026291469575
-0.0116379,-0.0110862,184.51030364011734
-0.0116379,-0.0098793,185.79576257207873
-0.0116379,-0.0086724,187.7489513912819
-0.0116379,-0.0074655,190.4941056999677
-0.0116379,-0.0062586,194.3207899010298
-0.0116379,-0.0050517,199.22879979692283
-0.0116379,-0.0038448,205.83215966427997
-0.0116379,-0.0026379,214.32434380246687
-0.0116379,-0.001431,225.32335871608382
-0.0116379,-0.0002241,239.4269748259278
-0.0116379,0.0009828,257.3430034706384
-0.0116379,0.0021897,280.51635602603244
-0.0116379,0.0033966,309.3183990176142
-0.0116379,0.0046034,345.4651877568503
-0.0116379,0.0058103,389.0068079155727
-0.0116379,0.0070172,440.9364096560041
-0.0116379,0.0082241,500.5906981669226
-0.0116379,0.009431,568.2565785014824
-0.0116379,0.0106379,643.4390978743616
-0.0116379,0.0118448,725.2551480269733
-0.0116379,0.0130517,813.3695436788473
-0.0116379,0.0142586,907.5124437666346
-0.0116379,0.0154655,1007.2804277856741
-0.0116379,0.0166724,1111.897575687529
-0.0116379,0.0178793,1220.7481883009307
-0.0116379,0.0190862,1332.1379484109032
-0.0116379,0.0202931,1444.713261950579
-0.0107069,-0.0122931,182.95131128541578
-0.0107069,-0.0110862,183.62212728401892
-0.0107069,-0.0098793,184.77330970633517
-0.0107069,-0.0086724,186.5546337694734
-0.0107069,-0.0074655,189.01595895012105
-0.0107069,-0.0062586,192.39313824382648
-0.0107069,-0.0050517,196.94014995090384
-0.0107069,-0.0038448,202.8519776722397
-0.0107069,-0.0026379,210.71581840611313
-0.0107069,-0.001431,220.70790301973847
-0.0107069,-0.0002241,233.71569841592384
-0.0107069,0.0009828,250.43649130625258
-0.0107069,0.0021897,271.9669612883509
-0.0107069,0.0033966,300.15926606346335
-0.0107069,0.0046034,335.2707034226388
-0.0107069,0.0058103,379.29911587293725
-0.0107069,0.0070172,431.1270509248562
-0.0107069,0.0082241,492.0611421126686
-0.0107069,0.009431,560.4967519302788
-0.0107069,0.0106379,636.6135062647563
-0.0107069,0.0118448,719.7126057776046
-0.0107069,0.0130517,808.7025432291233
-0.0107069,0.0142586,903.632481183583
-0.0107069,0.0154655,1004.0753900622218
-0.0107069,0.0166724,1109.2686085282487
-0.0107069,0.0178793,1218.533676811169
-0.0107069,0.0190862,1330.2266501720958
-0.0107069,0.0202931,1442.9962092847131
