Z,Y,T
-0.0004138,0.0106379,648.582159671251
0.0004138,0.0118448,729.920518449767
-0.0004138,0.0118448,729.920518449767
0.0004138,0.0130517,817.4791332759214
-0.0004138,0.0130517,817.4791332759214
0.0004138,0.0142586,910.610121523559
-0.0004138,0.0142586,910.610121523559
0.0004138,0.0154655,1009.8482478366307
-0.0004138,0.0154655,1009.8482478366307
0.0004138,0.0166724,1114.0327353011512
-0.0004138,0.0166724,1114.0327353011512
0.0004138,0.0178793,1222.559999863006
-0.0004138,0.0178793,1222.559999863006
0.0004138,0.0190862,1333.692026227598
-0.0004138,0.0190862,1333.692026227598
0.0004138,0.0202931,1446.1104574931874
-0.0004138,0.0202931,1446.1104574931874
0.0004138,0.0215,1559.6311708114904
-0.0004138,0.0215,1559.6311708114904
0.0008276,-0.0135,184.09898578504246
-0.0008276,-0.0135,184.09898578504246
0.0008276,-0.0122931,184.39577496348286
-0.0008276,-0.0122931,184.39577496348286
0.0008276,-0.0110862,185.22453790608537
-0.0008276,-0.0110862,185.22453790608537
0.0008276,-0.0098793,186.63981315710862
-0.0008276,-0.0098793,186.63981315710862
0.0008276,-0.0086724,188.74645728654315
-0.0008276,-0.0086724,188.74645728654315
0.0008276,-0.0074655,191.77659796034666
-0.0008276,-0.0074655,191.77659796034666
0.0008276,-0.0062586,195.85395518946058
-0.0008276,-0.0062586,195.85395518946058
0.0008276,-0.0050517,201.19240398471894
-0.0008276,-0.0050517,201.19240398471894
0.0008276,-0.0038448,208.13056373780492
-0.0008276,-0.0038448,208.13056373780492
0.0008276,-0.0026379,217.33490638234548
-0.0008276,-0.0026379,217.33490638234548
0.0008276,-0.001431,229.1025137096329
-0.0008276,-0.001431,229.1025137096329
0.0008276,-0.0002241,244.00995579094283
-0.0008276,-0.0002241,244.00995579094283
0.0008276,0.0009828,262.82882878514573
-0.0008276,0.0009828,262.82882878514573
0.0008276,0.0021897,287.0547772719518
-0.0008276,0.0021897,287.0547772719518
0.0008276,0.0033966,317.002297582912
-0.0008276,0.0033966,317.002297582912
0.0008276,0.0046034,353.36479966523603
-0.0008276,0.0046034,353.36479966523603
0.0008276,0.0058103,396.8983846218514
-0.0008276,0.0058103,396.8983846218514
0.0008276,0.0070172,448.58821600375467
-0.0008276,0.0070172,448.58821600375467
0.0008276,0.0082241,507.9431865271826
-0.0008276,0.0082241,507.9431865271826
0.0008276,0.009431,574.6254749133586
-0.0008276,0.009431,574.6254749133586
0.0008276,0.0106379,648.5814964052073
-0.0008276,0.0106379,648.5814964052073
0.0008276,0.0118448,729.9198059362573
-0.0008276,0.0118448,729.9198059362573
0.0008276,0.0130517,817.4784214642762
-0.0008276,0.0130517,817.4784214642762
0.0008276,0.0142586,910.6093984847294
-0.0008276,0.0142586,910.6093984847294
0.0008276,0.0154655,1009.8474942847192
-0.0008276,0.0154655,1009.8474942847192
0.0008276,0.0166724,1114.027708098299
-0.0008276,0.0166724,1114.027708098299
0.0008276,0.0178793,1222.5614898688252
-0.0008276,0.0178793,1222.5614898688252
0.0008276,0.0190862,1333.6935430780597
-0.0008276,0.0190862,1333.6935430780597
0.0008276,0.0202931,1446.1098703722057
-0.0008276,0.0202931,1446.1098703722057
0.0008276,0.0215,1559.6307919691974
-0.0008276,0.0215,1559.6307919691974
0.0012414,-0.0135,184.09897316914993
-0.0012414,-0.0135,184.09897316914993
0.0012414,-0.0122931,184.3957638677394
-0.0012414,-0.0122931,184.3957638677394
0.0012414,-0.0110862,185.22452934551146
-0.0012414,-0.0110862,185.22452934551146
0.0012414,-0.0098793,186.63981497290632
-0.0012414,-0.0098793,186.63981497290632
0.0012414,-0.0086724,188.7464698695757
-0.0012414,-0.0086724,188.7464698695757
0.0012414,-0.0074655,191.77663201370723
-0.0012414,-0.0074655,191.77663201370723
0.0012414,-0.0062586,195.8540096078271
-0.0012414,-0.0062586,195.8540096078271
0.0012414,-0.0050517,201.19249595132814
-0.0012414,-0.0050517,201.19249595132814
0.0012414,-0.0038448,208.1307203354385
-0.0012414,-0.0038448,208.1307203354385
0.0012414,-0.0026379,217.33516933518956
-0.0012414,-0.0026379,217.33516933518956
0.0012414,-0.001431,229.10283339980091
-0.0012414,-0.001431,229.10283339980091
0.0012414,-0.0002241,244.01042809619804
-0.0012414,-0.0002241,244.01042809619804
0.0012414,0.0009828,262.82944291066553
-0.0012414,0.0009828,262.82944291066553
0.0012414,0.0021897,287.0554303126375
-0.0012414,0.0021897,287.0554303126375
0.0012414,0.0033966,317.0028050779734
-0.0012414,0.0033966,317.0028050779734
0.0012414,0.0046034,353.36516112716674
-0.0012414,0.0046034,353.36516112716674
0.0012414,0.0058103,396.89841873867704
-0.0012414,0.0058103,396.89841873867704
0.0012414,0.0070172,448.58788209139703
-0.0012414,0.0070172,448.58788209139703
0.0012414,0.0082241,507.9426952145916
-0.0012414,0.0082241,507.9426952145916
0.0012414,0.009431,574.6246846892534
-0.0012414,0.009431,574.6246846892534
0.0012414,0.0106379,648.5805702508501
-0.0012414,0.0106379,648.5805702508501
0.0012414,0.0118448,729.9187756243277
-0.0012414,0.0118448,729.9187756243277
0.0012414,0.0130517,817.4773698725878
-0.0012414,0.0130517,817.4773698725878
0.0012414,0.0142586,910.6083347015292
-0.0012414,0.0142586,910.6083347015292
0.0012414,0.0154655,1009.846366836852
-0.0012414,0.0154655,1009.846366836852
0.0012414,0.0166724,1114.0265458005474
-0.0012414,0.0166724,1114.0265458005474
0.0012414,0.0178793,1222.5603028680348
-0.0012414,0.0178793,1222.5603028680348
0.0012414,0.0190862,1333.6901543205718
-0.0012414,0.0190862,1333.6901543205718
0.0012414,0.0202931,1446.1089266494876
-0.0012414,0.0202931,1446.1089266494876
0.0012414,0.0215,1559.6302532183481
-0.0012414,0.0215,1559.6302532183481
0.0016552,-0.0135,184.09895617455965
-0.0016552,-0.0135,184.09895617455965
0.0016552,-0.0122931,184.3957483608902
-0.0016552,-0.0122931,184.3957483608902
0.0016552,-0.0110862,185.22452045922475
-0.0016552,-0.0110862,185.22452045922475
0.0016552,-0.0098793,186.63981418124328
-0.0016552,-0.0098793,186.63981418124328
0.0016552,-0.0086724,188.74648854686637
-0.0016552,-0.0086724,188.74648854686637
0.0016552,-0.0074655,191.77666809211792
-0.0016552,-0.0074655,191.77666809211792
0.0016552,-0.0062586,195.85409750163385
-0.0016552,-0.0062586,195.85409750163385
0.0016552,-0.0050517,201.19262766135324
-0.0016552,-0.0050517,201.19262766135324
0.0016552,-0.0038448,208.13092984174506
-0.0016552,-0.0038448,208.13092984174506
0.0016552,-0.0026379,217.33546353103532
-0.0016552,-0.0026379,217.33546353103532
0.0016552,-0.001431,229.10337930602876
-0.0016552,-0.001431,229.10337930602876
0.0016552,-0.0002241,244.0111181637292
-0.0016552,-0.0002241,244.0111181637292
0.0016552,0.0009828,262.8302576858896
-0.0016552,0.0009828,262.8302576858896
0.0016552,0.0021897,287.05629741401475
-0.0016552,0.0021897,287.05629741401475
0.0016552,0.0033966,317.0036435162799
-0.0016552,0.0033966,317.0036435162799
0.0016552,0.0046034,353.3656849987278
-0.0016552,0.0046034,353.3656849987278
0.0016552,0.0058103,396.8986074870103
-0.0016552,0.0058103,396.8986074870103
0.0016552,0.0070172,448.58762250102666
-0.0016552,0.0070172,448.58762250102666
