X,Y,T
-0.0032586,0.0106379,520.6826790480734
-0.0032586,0.0118448,627.956741173368
-0.0032586,0.0130517,737.1698795393299
-0.0032586,0.0142586,847.635565386807
-0.0032586,0.0154655,959.8702037983476
-0.0032586,0.0166724,1074.587100604151
-0.0032586,0.0178793,1190.8331700473755
-0.0032586,0.0190862,1307.8922536011657
-0.0032586,0.0202931,1424.1914610001224
-0.0023276,-0.0122931,170.93245164647223
-0.0023276,-0.0110862,170.22704743029965
-0.0023276,-0.0098793,168.95042684340333
-0.0023276,-0.0086724,168.02799256588554
-0.0023276,-0.0074655,166.3993545957113
-0.0023276,-0.0062586,163.86967028985444
-0.0023276,0.0058103,270.59618022221315
-0.0023276,0.0070172,321.2361616434541
-0.0023276,0.0082241,369.0098868355406
-0.0023276,0.009431,413.6331465249999
-0.0023276,0.0106379,508.42084140543966
-0.0023276,0.0118448,618.9725317978105
-0.0023276,0.0130517,729.8104800104014
-0.0023276,0.0142586,841.8569231626484
-0.0023276,0.0154655,955.4030355132361
-0.0023276,0.0166724,1071.0472585464956
-0.0023276,0.0178793,1187.9525871262244
-0.0023276,0.0190862,1305.4761623150682
-0.0023276,0.0202931,1422.05632120728
-0.0013966,-0.0122931,170.26257109374012
-0.0013966,-0.0110862,169.4302734315929
-0.0013966,-0.0098793,168.04569779598145
-0.0013966,-0.0086724,167.03780800901225
-0.0013966,-0.0074655,165.11862908579477
-0.0013966,-0.0062586,162.1274793593614
-0.0013966,0.0070172,315.63720193816005
-0.0013966,0.0082241,365.6668416370446
-0.0013966,0.009431,411.7069606160377
-0.0013966,0.0106379,498.03428147374314
-0.0013966,0.0118448,611.6683808321675
-0.0013966,0.0130517,724.7723914389576
-0.0013966,0.0142586,838.1673398124337
-0.0013966,0.0154655,952.5589470301056
-0.0013966,0.0166724,1068.7976897936528
-0.0013966,0.0178793,1186.124386779367
-0.0013966,0.0190862,1303.9441681238372
-0.0013966,0.0202931,1420.7033091789426
-0.0004655,-0.0122931,169.94751754183983
-0.0004655,-0.0110862,169.1130881163023
-0.0004655,-0.0098793,167.77266123856498
-0.0004655,-0.0086724,166.59117192597716
-0.0004655,-0.0074655,164.47454817237258
-0.0004655,-0.0062586,161.26099253120546
-0.0004655,0.0070172,312.5790834908276
-0.0004655,0.0082241,363.9199770251995
-0.0004655,0.009431,410.9425203087968
-0.0004655,0.0106379,493.93926609016665
-0.0004655,0.0118448,608.3576490833597
-0.0004655,0.0130517,722.0603530536541
-0.0004655,0.0142586,836.0445196163504
-0.0004655,0.0154655,950.9321467290926
-0.0004655,0.0166724,1067.5158100120416
-0.0004655,0.0178793,1185.085461016969
-0.0004655,0.0190862,1303.0752367963091
-0.0004655,0.0202931,1419.9368844104897
0.0004655,-0.0122931,169.9475175418396
0.0004655,-0.0110862,169.1130881163021
0.0004655,-0.0098793,167.772661238564
0.0004655,-0.0086724,166.59117192597603
0.0004655,-0.0074655,164.47454817237153
0.0004655,-0.0062586,161.2609925312043
0.0004655,0.0070172,312.5790834908274
0.0004655,0.0082241,363.9199770251997
0.0004655,0.009431,410.9425203087968
0.0004655,0.0106379,493.9392660901651
0.0004655,0.0118448,608.357649083358
0.0004655,0.0130517,722.0603530536544
0.0004655,0.0142586,836.0445196163487
0.0004655,0.0154655,950.932146729093
0.0004655,0.0166724,1067.5158100120407
0.0004655,0.0178793,1185.0854610169727
0.0004655,0.0190862,1303.0752367963105
0.0004655,0.0202931,1419.9368844104895
0.0013966,-0.0122931,170.26257109373935
0.0013966,-0.0110862,169.43027343159244
0.0013966,-0.0098793,168.04569779597838
0.0013966,-0.0086724,167.0378080090089
0.0013966,-0.0074655,165.1186290857922
0.0013966,-0.0062586,162.1274793593583
0.0013966,0.0070172,315.63720193815874
0.0013966,0.0082241,365.6668416370455
0.0013966,0.009431,411.7069606160361
0.0013966,0.0106379,498.0342814737376
0.0013966,0.0118448,611.6683808321623
0.0013966,0.0130517,724.7723914389592
0.0013966,0.0142586,838.1673398124287
0.0013966,0.0154655,952.5589470301072
0.0013966,0.0166724,1068.7976897936508
0.0013966,0.0178793,1186.124386779377
0.0013966,0.0190862,1303.944168123841
0.0013966,0.0202931,1420.7033091789408
0.0023276,-0.0122931,170.93245164647098
0.0023276,-0.0110862,170.227047430298
0.0023276,-0.0098793,168.95042684340083
0.0023276,-0.0086724,168.02799256588108
0.0023276,-0.0074655,166.39935459570728
0.0023276,-0.0062586,163.8696702898509
0.0023276,0.0058103,270.59618022221025
0.0023276,0.0070172,321.2361616434505
0.0023276,0.0082241,369.00988683554124
0.0023276,0.009431,413.6331465249998
0.0023276,0.0106379,508.4208414054366
0.0023276,0.0118448,618.9725317978048
0.0023276,0.0130517,729.8104800104013
0.0023276,0.0142586,841.8569231626421
0.0023276,0.0154655,955.4030355132343
0.0023276,0.0166724,1071.0472585464952
0.0023276,0.0178793,1187.952587126232
0.0023276,0.0190862,1305.4761623150696
0.0023276,0.0202931,1422.0563212072798
0.0032586,-0.0122931,171.82751671159463
0.0032586,-0.0110862,171.19534733590194
0.0032586,-0.0098793,170.16219531482471
0.0032586,-0.0086724,169.37864543399235
0.0032586,-0.0074655,168.19304308530465
0.0032586,-0.0062586,166.4329855143617
0.0032586,-0.0050517,163.64461716913922
0.0032586,0.0058103,282.2886556314354
0.0032586,0.0070172,328.56200923070503
0.0032586,0.0082241,373.9354856865709
0.0032586,0.009431,416.01774993755555
0.0032586,0.0106379,520.682679048069
0.0032586,0.0118448,627.9567411733649
0.0032586,0.0130517,737.1698795393256
0.0032586,0.0142586,847.6355653868031
0.0032586,0.0154655,959.8702037983356
0.0032586,0.0166724,1074.5871006041566
0.0032586,0.0178793,1190.8331700473686
0.0032586,0.0190862,1307.8922536011587
0.0032586,0.0202931,1424.1914610001256
0.0041897,-0.0122931,173.03548149816223
0.0041897,-0.0110862,172.58458341276744
0.0041897,-0.0098793,171.67615829085847
0.0041897,-0.0086724,170.97122235890308
0.0041897,-0.0074655,170.3830063060125
0.0041897,-0.0062586,169.3732253638377
0.0041897,-0.0050517,167.6994277028577
0.0041897,0.0046034,253.72737266783435
0.0041897,0.0058103,294.1570473625786
0.0041897,0.0070172,336.40711440002906
0.0041897,0.0082241,378.6214376946917
0.0041897,0.009431,435.18379498519766
0.0041897,0.0106379,536.5121392594269
0.0041897,0.0118448,640.2091806168169
0.0041897,0.0130517,745.883718065855
0.0041897,0.0142586,854.1862508061593
0.0041897,0.0154655,964.9673545859126
0.0041897,0.0166724,1078.6431660192866
0.0041897,0.0178793,1194.1437550797607
0.0041897,0.0190862,1310.6756334810739
0.0041897,0.0202931,1426.6549904725798
0.0051207,-0.0122931,174.35956283612072
0.0051207,-0.0110862,174.06995105660445
